Name,Image URL,IMDB Bio Link,Birth Date,Birth Year,Birth Place,About,Height,Alternative Names,Nickname,Trademark,Star Sign
Zeenat Aman,"https://m.media-amazon.com/images/M/MV5BMTg4NDcxNTQ0N15BMl5BanBnXkFtZTgwNTI3OTczOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0023868/bio,November 19,1951,"Bombay, State of Bombay, India","Zeenat Aman was born to a Hindu mother and a Muslim father Amanullah who was one of the writers for the classic ""Mughal-e-Azam"", on November 19th, 1951. Zeenat was an only child and her parents divorced when she was a little girl. A graduate of Saint Xavier's school in Bombay. Her father passed away when she was 13. Zeenat won a scholarship to ... Read more from IMDB Bio Link","5' 6¼"" (1.68 m)",Smt. Zeenat Aman,Babushka,,Scorpio
Vyjayanthimala,"https://m.media-amazon.com/images/M/MV5BYWVjYzI1YzctOGJkYS00ZGM5LTg3OGItYmI5ZTIyMGI2ZGI3XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR20,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0904537/bio,August 13,1933,"Triplicane, Madras Presidency, British India",Vyjayanthimala was born to actress and dancer,"5' 3"" (1.6 m)","Vijayanthimala Bali,Vyjayanthimala Bali,Vyjayanti Mala,Vyjantimala,Miss Vyjayantimala,Vyjayantimala",,,Leo
Waheeda Rehman,"https://m.media-amazon.com/images/M/MV5BMTQ4NzE2OTMyMl5BMl5BanBnXkFtZTcwOTc4MDEzMQ@@._V1_UY317_CR104,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0716851/bio,February 3,1938,"Chengalpattu, Madras Presidency, British India","Waheeda was born in a Tamil and Urdu-speaking family in Chengalpattu-Tamil Nadu, India. Her father was the District Magistrate which led him to be posted in several places. Tragedy visited her in 1948 when her dad passed away. Her mom passed away in 1955. A year after her dad's death she appeared in a Telegu movie 'Rojulu Marayi'. Her role was as ... Read more from IMDB Bio Link","5' 1"" (1.55 m)",Waheeda Kamaljit Singh,,,Aquarius
Vrajesh Hirjee,"https://m.media-amazon.com/images/M/MV5BMTI4OWU4ZDktOGNlNC00NTBlLWJjNTctM2JmYzBhOGFhNWE4XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR8,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0386358/bio,June 16,1971,"Bihar, India","Vrajesh Hirjee was born on June 16, 1971 in Bihar, India. He is an actor and writer, known for",,Vrajesh Hirji,,,Gemini
Vidya Balan,"https://m.media-amazon.com/images/M/MV5BNDI3Mjk2MjgzMl5BMl5BanBnXkFtZTcwODQwMjI1OQ@@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1799038/bio,January 1,1979,"Bombay, Maharashtra, India","Vidya was born in Palghat, Kerala, India. Her family consists of her dad, P.R. Balan, who is the Vice-President of ETC Channel; mom - a home-maker, and an elder sister, Priya, who is married to Kedar. She also has an aunt by the name of Raji Raju. The Balan family re-located to live at Road No. 11, near Ambedkar Garden, Chembur, Bombay, when Vidya ... Read more from IMDB Bio Link","5' 2"" (1.57 m)",,,,Capricorn
Mohanlal,"https://m.media-amazon.com/images/M/MV5BYjFjZGRjMWYtZTA5MS00OTZkLWI1MjctNDQ2NmQzMWM1NzRhXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_UY317_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0482320/bio,May 21,1960,"Pathanamthitta, Kerala, India","Mohanlal was born to Viswanathan Nair (father) and Santhakumari (mother) in Pathanamthitta district of Kerala, in the southern part of India on 21st May 1960. Starting his career with a classic villain role, he has now become an outstanding actor of Malayalam Cinema in Kerala. Without no doubt, Mohanlal is today's one of the best actors India has ... Read more from IMDB Bio Link","5' 7¾"" (1.72 m)","Lalettan,Lalu,Lal,Bharat Mohanlal,Padma Shri Bharat Mohanlal,Padmashree Bharath Mohanlal,V. Mohanlal",Laalu,,Gemini
Vinay Pathak,"https://m.media-amazon.com/images/M/MV5BMTgxODI1NTI2MV5BMl5BanBnXkFtZTgwODgxODYyNjE@._V1_UY317_CR130,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0665555/bio,July 12,1968,"Bhojpur District, Bihar, India","Vinay Pathak was born on July 12, 1968 in Bhojpur District, Bihar, India. He is an actor and writer, known for",,,,,Cancer
Vinod Khanna,"https://m.media-amazon.com/images/M/MV5BMGNlOWMyNDUtMjYzZi00YmE2LThjNTItMjFiOTA3YzBkZjZmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR18,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0451396/bio,October 6,1946,"Peshawar, North-West Frontier Province, British India","At the start of his career, he played supporting or villainous characters in films such as Purab Aur Paschim, Sachaa Jhutha, Aan Milo Sajna, and Mastana in 1970, and in Mera Gaon Mera Desh, Elaan and Aan Milo Sajna in 1971.He got his first break as the solo lead hero in the film Hum Tum Aur Woh (1971), which was followed by the 1971 multi-hero ... Read more from IMDB Bio Link","5' 10"" (1.78 m)","Vinod Khan,Shri Vinod Khanna,Vinod",,,Libra
Vikram Gokhale,"https://m.media-amazon.com/images/M/MV5BN2EyYjI5NmEtMDEwZC00ZGYwLWFjZWEtOWVkZjZjMDM0M2IyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR4,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0324845/bio,October 30,1940,"Pune, Bombay Presidency, British India","Vikram Gokhle (occasionally credited as Vikram Gokhle) is a well known Indian film, television and stage actor, notable for his roles in Marathi theatre and Hindi films and television. He is the son of another well known veteran Marathi theater and film actor Chandrakant Gokhle, who acted in 68 Marathi and 16 Hindi films besides 64 Marathi plays ... Read more from IMDB Bio Link",,Vikram Gokhle,,,Scorpio
Vipin Sharma,"https://m.media-amazon.com/images/M/MV5BZjQxYWI5M2UtNTdiZi00OTU0LTk2YTgtYjc3MWFkZGEzMWZkXkEyXkFqcGdeQXVyNDAzNDk0MTQ@._V1_UY317_CR227,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1479650/bio,,,,"Vipin Sharma is an actor and editor, known for",,Vipin Shrma,,,
Vijay Raaz,"https://m.media-amazon.com/images/M/MV5BOTc2ODgwODcxOF5BMl5BanBnXkFtZTgwNzM1MzYwMTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0704694/bio,,,,Vijay Raaz was born and raised in Delhi where he attended Kirori Mal College. While at college he was a part of the dramatic society The Players. He also appeared in plays at the National School of Drama. He decided to focus on a film career and moved to Mumbai where he received a role in Ram Gopal Varma's Jungle. Naseeruddin Shah had seen him ... Read more from IMDB Bio Link,"5' 10¼"" (1.78 m)","Vijay Raaj,Vijay Raj",,,
Venkatesh Daggubati,"https://m.media-amazon.com/images/M/MV5BMTkyNDE4OTA0MF5BMl5BanBnXkFtZTgwNjExMTE0OTE@._V1_UY317_CR139,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0893142/bio,December 13,1960,"Karamchedu, Andhra Pradesh, India","Venkatesh Daggubati was born on December 13, 1960 in Karamchedu, Andhra Pradesh, India as Daggupati Venkatesh. He is an actor, known for","5' 10¼"" (1.79 m)","D. Venkatesh Babu,Daggubati Venkatesh Babu,Victory Venkatesh,Venkatesh",,,Sagittarius
Vishal Malik,,https://www.imdb.com/name/nm7919429/bio,,,,"Vishal Malik born 12 March 1989 in New Delhi is an Indian Film Actor. He studied Acting from Whistling Woods International Institute under the Guidance of Shernaz Patel Heading the department and he developed his craft under the guidance of Jameel Khan, Harmender Bhatia. The institute is promoted by Indian Filmmaker Subhash Ghai, Mukta Arts and ... Read more from IMDB Bio Link","5' 7"" (1.7 m)",,VM,,
Tigmanshu Dhulia,"https://m.media-amazon.com/images/M/MV5BMmVkZTMxMTgtNjk3Ny00Yzc4LWFhZWYtMjBhYTJjN2EwMDViXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0223606/bio,,,,"Tigmanshu Dhulia is a director and actor, known for",,,,,
Upendra Limaye,"https://m.media-amazon.com/images/M/MV5BN2JkNjFjYzctOTM4NS00NGI3LWFhY2UtZmIwNTZjNzc1YTA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR14,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1822342/bio,,,,"Upendra Limaye is an actor, known for",,,,,
Varun Dhawan,"https://m.media-amazon.com/images/M/MV5BMjM0NTM3ODY4Ml5BMl5BanBnXkFtZTgwNTA4MDM0OTE@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm3315894/bio,April 24,1987,"Mumbai, Maharashtra, India","Varun Dhawan was born on April 24, 1987 in Mumbai, Maharashtra, India. He is an actor and assistant director, known for","5' 6¼"" (1.69 m)",,,,Taurus
Tabu,"https://m.media-amazon.com/images/M/MV5BMTU0ODQ2MjA5NF5BMl5BanBnXkFtZTYwMjczMjA0._V1_UY317_CR1,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0007102/bio,November 4,1970,"Hyderabad, Andhra Pradesh, India","Tabu is an Indian actress. She has mainly acted in Hindi films, though she has also starred in Telugu, Tamil, Malayalam, Marathi and Bengali-language films, as well as one American film. She has won the National Film Award for Best Actress twice, and holds the record for the most wins of Filmfare's Critics Award for Best Female Performer, with ... Read more from IMDB Bio Link","5' 6¼"" (1.69 m)",Tabbu,,,Scorpio
Usha Nadkarni,"https://m.media-amazon.com/images/M/MV5BNDRiOGQ0YWYtNmE0MC00NWM4LTg5YTMtNzAyNjQyZGVkOThjXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0618936/bio,,,,"Usha Nadkarni is an actress, known for",,,,,
Utpal Dutt,"https://m.media-amazon.com/images/M/MV5BMDFiNjgzNGQtMmZkMy00NzNmLWE2MDItYzMzMWQ0ZmE3Yzg4XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR137,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0244884/bio,March 29,1929,"Barisal, Bengal Presidency, British India [now Bangladesh]","Utpal Dutt was born on March 29, 1929 in Barisal, Bengal Presidency, British India. He was an actor and director, known for",,"Utpall Dutt,Utpal Dutta",,,Aries
Tom Alter,"https://m.media-amazon.com/images/M/MV5BMjk1NDI0ZjEtMDMwOS00ZTY5LTk3NTEtODYxZWZlNTE4OTZmXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0022758/bio,June 22,1950,"Mussoorie, Uttar Pradesh, India","Tom Alter, the son and grandson of American Presbyterian missionaries who first came to India in 1916, grew up in north India in the towns of Rajpur and Mussoorie, and studied at Woodstock School. It was while teaching at a school in Jagadhri, Haryana in the early 1970s that Alter picked honed his Hindi and fell in love with the movies, in specific... Read more from IMDB Bio Link",,"Tom Altar,Thomas Beach Alter,Tom Alters,Tom Altor,Alter Tom",,,Cancer
Upasna Singh,"https://m.media-amazon.com/images/M/MV5BYzkzNGJjNGMtMTcyMy00YmQ5LTgwMmItNzk4MjBkZWJhMTg1XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR1,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0802251/bio,June 29,1975,"Kapurthala, Punjab, India","Upasna Singh was born on June 29, 1975 in Kapurthala, Punjab, India. She is an actress, known for","5' 5"" (1.65 m)","Upasana Singh,Upasna",,,Cancer
Tinnu Anand,"https://m.media-amazon.com/images/M/MV5BZjM4OWEyOWItNmU0Yy00MjQyLTkyNzYtOTQzNzA1ZTJmOTY0XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0025627/bio,May 4,1953,"Bombay, State of Bombay, India","Tinnu Anand is an Indian actor and director from Bollywood, who is most known as the director of Amitabh Bachchan's movies including, Kaalia (1981), Shahenshah (1988), Main Azaad Hoon (1989) and Major Saab (1998).He is the son of veteran writer Inder Raj Anand and uncle of director Siddharth Anand. Anand recently portrayed an important role in ... Read more from IMDB Bio Link","5' 6½"" (1.69 m)","Shri V. R. Anand,Tinu Anand,V. R. Anand,Verinder Raj Anand",,,Taurus
Tiger Shroff,"https://m.media-amazon.com/images/M/MV5BNjUyMTQyNDA2M15BMl5BanBnXkFtZTgwNDI4ODEzOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm5899377/bio,March 2,1990,"Mumbai, India","Tiger Shroff was born on March 2, 1990 in Mumbai, India as Jai Hemant Shroff. He is an actor, known for","5' 7"" (1.7 m)",,,,Pisces
Sudeep,"https://m.media-amazon.com/images/M/MV5BOWFjZGYxZDMtYTBhYy00YWVkLTk2NDUtMmE2NTAyM2Q0OTMyXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1679372/bio,September 2,1973,"Shivamogga, Mysore State, India [now Shivamogga, Karnataka, India]","Sudeep is an Indian film actor, director, producer, screenwriter, playback singer, anchor, and cricketer who works primarily in Kannada cinema. He won the Filmfare Award for Best Actor - Kannada for three consecutive years for his films Huchcha (2001), Nandhi (2002) and Swathi Muthu (2003). Since 2013, he is hosting the television reality show ... Read more from IMDB Bio Link","5' 11"" (1.8 m)","Sudeep Sanjeev,Abhinaya Chakravarthy Kichcha Sudeep,Abhinaya Chakravarthy Sudeep,Kicchaa Sudeep,Kiccha Sudeep,Kicha Sudeep,Kichcha Sudeep,Kichha Sudeep,Abhinaya Chakravarthy Kala Bhooshana Kichcha Sudeepa,Abhinaya Chakravarthy Kechchedeya Kichcha Sudeepa,Abhinaya Chakravarthy Kichcha Sudeepa,Kiccha Sudeepa,Kicha Sudeepa,Kichcha Sudeepa,Sudeepa",Deepu,Star Sign : Sagittarius,Virgo
Sanjeev Kumar,"https://m.media-amazon.com/images/M/MV5BZmE5YTIwODYtMTA2OC00ZDg1LTk3NmItMGI1NzhjNTZiNjIyXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR31,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0474876/bio,July 9,1938,"Surat, Bombay Presidency, British India",Harihar Jariwala a.k.a. Sanjeev Kumar was born in a Gujrati family in 1938. He portrayed many roles irrespective of the age or the type of chararcter. The actor ballooned in size in later years of his life due to the gastronomical pleasures he had inherited by sleeping in a kitchen while he was a child (which became the cause of his death in 1985 ... Read more from IMDB Bio Link,"5' 8"" (1.73 m)","S. Kumar,Sanjiv Kumar,Shri Sanjeev Kumar,Sanjay,Sanjeev",Doctor Kumar,Quiver in his voice,Cancer
Sunil Shetty,"https://m.media-amazon.com/images/M/MV5BODUwMzUyNTUxMl5BMl5BanBnXkFtZTcwNDM2ODIyOA@@._V1_UY317_CR4,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0792911/bio,August 11,1961,"Mulki, Mysore State, India",Sunil Shetty made his debut in 1992 with,"5' 8"" (1.73 m)","Mr. Sunil Shetty,Suneil Shetty,Suniel Shetty,cameo",Anna,,Leo
Saurabh Shukla,"https://m.media-amazon.com/images/M/MV5BMTYzMTczOTM2Ml5BMl5BanBnXkFtZTYwNzE4Mzgy._V1_UY317_CR28,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0795661/bio,March 5,1963,"Gorakhpur, Uttar Pradesh, India","Shukla's family left Gorakhpur for Delhi when he was two years old. After completing his schooling, he graduated from Khalsa College, Delhi. His professional career began in 1984 with his entry into theater. Shukla began serious theater in 1986 with roles in plays like A View From The Bridge (Arthur Miller), Look Back In Anger (John Osborne), ... Read more from IMDB Bio Link",,"Saurab Shukla,Shaurabh Shukla,Sourabh Shukla",,,Pisces
Salman Khan,"https://m.media-amazon.com/images/M/MV5BMjMwNTIxODg0OF5BMl5BanBnXkFtZTgwODg2NzM0OTE@._V1_UY317_CR11,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0006795/bio,December 27,1965,"Indore, Madhya Pradesh, India","Born on December 27, 1965 Salman Khan is the son of the legendary writer","5' 6½"" (1.69 m)",Salman Bhai and family,Tiger Khan,Wears Blue Feroza Stone bracelet in his movies,Capricorn
Shivaji Ganesan,"https://m.media-amazon.com/images/M/MV5BMmI2Nzk4NWQtOTAxNi00ZTIxLTljNDktZDJlZDQ2NDRiODJjXkEyXkFqcGdeQXVyMjYwMDk5NjE@._V1_UY317_CR25,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0304262/bio,October 1,1928,"Sirkali Sirkazhi, Tanjore District, Madras Presidency, British India","Tamil superstar from a poor family in Tamil Nadu, India. His father worked on the railways. On the day of his birth his father, Chiniah Pillai, follower of Mahatma Gandhi, was jailed for participating in the Independence movement in Nellikuppam (Tamil Nadu, India). He was frequently in and out of jail, and was raised by his mother, Rajamani Ammal. ... Read more from IMDB Bio Link",,"Shivaji Ganasan,Nadigar Thilagam Sivaji Ganesan,Padmashri Shivaji Ganesan,Sivaji Ganesan,Viluppuram Chinnaiahpillah Ganesan,Shivaji Ganeshan,Thilagam Nadigar,Sivaji",The Marlon Brando of South Indian Cinema,,Libra
Sheeba Chaddha,"https://m.media-amazon.com/images/M/MV5BNzc0NWJjMjQtM2VhOC00MDAxLWE5ZjItZTNlZDFkYjE1YjE0XkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR49,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0149441/bio,1972,,"Delhi, India","Sheeba Chaddha was born in 1972 in Delhi, India. She is an actress, known for",,Sheeba Chadha,,,
Sanjay Dutt,"https://m.media-amazon.com/images/M/MV5BNzU2NTgwNzY1OF5BMl5BanBnXkFtZTcwMjQxNzcxOA@@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0004569/bio,July 29,1959,"Bombay, State of Bombay, India","Sanjay Dutt, son of","5' 10"" (1.78 m)","Master Sanjay Dutt,Shri Sanjay Dutt,Sunjay Dutt",The Nayak of Hindi Cinema,Unique Walking Style,Leo
Sharmila Tagore,"https://m.media-amazon.com/images/M/MV5BMTg4Njc5MzUzNF5BMl5BanBnXkFtZTgwOTYzMTI1NTE@._V1_UY317_CR112,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0846616/bio,December 8,1946,"Hyderabad, Hyderabad State, British India","A Bengali actress who achieved success young, Sharmila appeared in numerous Bengali classics before making the jump to Hindi cinema, which first made her a romantic actress and later a legendary actress thanks to her intense films opposite Superstar Rajesh Khanna. A distant relative of poet","5' 2"" (1.57 m)",Ayesha Sultana Khan,,,Sagittarius
Sridevi,"https://m.media-amazon.com/images/M/MV5BMTQyMjg4Mzk2M15BMl5BanBnXkFtZTcwMjE0MTg2OA@@._V1_UY317_CR27,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0004437/bio,August 13,1963,"Sivakasi, Madras State, India","Sridevi was born on August 13, 1963 in her father's hometown of Sivakasi, Tamil Nadu, India. Her mother was from Tirupati, Andhra Pradesh. So Sridevi grew up speaking Telugu and Tamil. She has a sister named Srilatha and a stepbrother named Satish. Her dad passed away during the year 1991, while her mom died during 1997. She started her career at a... Read more from IMDB Bio Link","5' 6"" (1.68 m)","Sridevi Ayyapan,Sri Devi,Sreedevi Kapoor,Sridevi Boney Kapoor,Sridevi Kapoor,Shreedevi,Shridevi,Sreedevi,Baby Sridevi",Indian cinema's first female superstar,,Leo
Shernaz Patel,"https://m.media-amazon.com/images/M/MV5BNTBjN2U2MTgtZjhhMC00YjE4LWI5ODQtN2EwYmJhNTU4MDdkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR22,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1617909/bio,,,,"Shernaz Patel is an actress, known for",,"Shenaaz Patel,Shenaz Patel",,,
Soumitra Chatterjee,"https://m.media-amazon.com/images/M/MV5BMjI5Mjk4NDc3Ml5BMl5BanBnXkFtZTgwMjczMTI1NTE@._V1_UY317_CR112,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0154164/bio,January 19,1935,"Krishnanagar, Bengal Presidency, British India","Soumitra Chatterjee was born on January 19, 1935 in Krishnanagar, Bengal Presidency, British India as Soumitra Chattapadhaya. He is an actor, known for",,"Soumitra Chatterji,Saumitra Chattopadhyay,Soumitra Chattopadhyay,Soumitro Chattopadhyay,Soumitra Chattopadhyaya,Saumitra Chottopadhya",,,Capricorn
Sudesh Lehri,"https://m.media-amazon.com/images/M/MV5BNjVhOGZjYzEtM2Y3MS00OTAyLTg5Y2QtZTQzMDVkZWQyYTI2L2ltYWdlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR12,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm3544809/bio,,,,"Sudesh Lehri is an actor, known for",,Sudesh Lehari,,,
Saeed Jaffrey,"https://m.media-amazon.com/images/M/MV5BMTU4NTAzNTIxMl5BMl5BanBnXkFtZTcwMjkyNzg5Nw@@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0006762/bio,January 8,1929,"Malerkotla, Punjab, British India","Saeed Jaffrey was born in Maler Kotla, Punjab, India. He was born on the 8th of January 1929. He attended University of Allahabad where he completed his post-graduate degree in history. He also attended the Staff Training Institute of All India Radio. He started his career in drama, as the founder of his own English theatre company called the ... Read more from IMDB Bio Link","5' 5"" (1.65 m)","Saeed Jaferey,Saeed Jafferey,Saeed Jafferi,Saeed Jaffery,Sayeed Jaffery,Saeed and Madhur Jaffrey,Sayed Jaffrey,Sayeed Jaffrey,Saeed Jaffry,Saeed Jafrey,Saeed Jaffrey OBE",,,Capricorn
Sunny Deol,"https://m.media-amazon.com/images/M/MV5BMjEwOTA2MjMwMl5BMl5BanBnXkFtZTcwODc3MDgxOA@@._V1_UY317_CR4,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0219971/bio,October 19,1957,"Sahnewal, Ludhiana, Punjab, India",Ajay Singh Deol popularly known as Sunny Deol was born to actor Dharmendra and Prakash Kaur. Sunny began acting with super hit film Betaab (1983) which was a love story also featuring another new comer Amrita Singh; this film was a major success and then he goes on making films which portrayed him as Bollywood's best action hero. There is Arjun (... Read more from IMDB Bio Link,"5' 7½"" (1.71 m)",Ajay Singh Deol,,,Libra
Shreyas Talpade,"https://m.media-amazon.com/images/M/MV5BMjZhOTQzNTEtNGY4NS00ZmQxLThkMDEtM2M4NDVjMjc0MWNlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR17,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm1662277/bio,January 27,1976,"Bombay, Maharashtra, India","Shreyas Talpade was born on January 27, 1976 in Bombay, Maharashtra, India. He is an actor and director, known for","5' 7"" (1.7 m)",,,,Aquarius
Seema Biswas,"https://m.media-amazon.com/images/M/MV5BMTczMTgyOTkyOV5BMl5BanBnXkFtZTYwNTQ1MDA0._V1_UY317_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0084443/bio,January 14,1965,"Nalbari, Assam, India","Seema Biswas was born on January 14, 1965 in Nalbari, Assam, India. She is an actress, known for",,,,,Capricorn
Sachin Khedekar,"https://m.media-amazon.com/images/M/MV5BOThiMjlmYzYtNmQ3NC00YzUyLWE4MmUtMjEzMWQxNjMyZmVlXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR9,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0451561/bio,March 14,1965,"Mumbai, Maharahstra, India","Sachin Khedekar was born on March 14, 1965 in Mumbai, Maharahstra, India. He is known for his work on",,,,,Pisces
Shashi Kapoor,"https://m.media-amazon.com/images/M/MV5BNTcyNDUwNzEzNl5BMl5BanBnXkFtZTgwOTMxMjMzOTE@._V1_UY317_CR53,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0004434/bio,March 18,1938,"Calcutta, Bengal Presidency, British India","Shashi Kapoor is one of the leading actors of Indian cinema having appeared in 160 movies - 12 in English and 148 in Hindi. He has appeared in 148 Hindi films - of them played the solo lead hero in 61 films, was lead hero in 53 released multi star cast Hindi films, 2 unreleased multi star film and 21 Hindi films had him in supporting role, worked ... Read more from IMDB Bio Link","5' 9"" (1.75 m)","Padma Bhushan Shashi Kapoor,Sashi Kapoor,Shashi Raj,Shashiraj,Shashi",,,Pisces
Smita Patil,"https://m.media-amazon.com/images/M/MV5BMTU3MTUyMjI4OF5BMl5BanBnXkFtZTgwNDgxNzE4MDE@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0665599/bio,October 17,1955,"Pune, State of Bombay, India","Smita Patil was born on October 17, 1955 in Pune, State of Bombay, India. She was an actress, known for","5' 6"" (1.68 m)","Late Smita Patil,Smita",,,Libra
Surekha Sikri,"https://m.media-amazon.com/images/M/MV5BYzI0NGU4NDQtMjZiZS00Mjc2LTk3Y2ItY2NhYmYwOTEyZjQyXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_UY317_CR51,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0797773/bio,April 19,1945,"New Delhi, British India","Surekha Sikri was born on April 19, 1945 in New Delhi, British India. She is an actress, known for",,"Surekha Sikri Rege,Surehka Sikri,Surekha Sikri-Rege",,,Aries
Shashank Arora,"https://m.media-amazon.com/images/M/MV5BMTcxODc3NzkxOF5BMl5BanBnXkFtZTgwMzUwOTU3MTE@._V1_UY317_CR131,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm3508604/bio,,,,"Born Shashank Sunny Arora in New Delhi, India, on February 21, 1989, Shashank Arora was interested in music and theatre from a young age. After finishing high school in early 2006, he left for Montreal, Canada to study cinema and music. While there, he briefly joined a street theatre group formed by human rights activists. In 2008, he moved to ... Read more from IMDB Bio Link","5' 9"" (1.75 m)",,Sunny,,
Sharman Joshi,"https://m.media-amazon.com/images/M/MV5BYWE5MWNkYWQtZTZjZS00N2U0LTgzNzMtNzZkMzJmMWYzZWNkXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UY317_CR3,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0430817/bio,April 28,1979,"Bombay, Maharashtra, India","Sharman Joshi was born on April 28, 1979 in Bombay, Maharashtra, India. He is an actor, known for","5' 9"" (1.75 m)",Sherman Joshi,,,Taurus
Sunil Dutt,"https://m.media-amazon.com/images/M/MV5BNzM0OTA3MDAxN15BMl5BanBnXkFtZTgwMzg2OTczOTE@._V1_UX214_CR0,0,214,317_AL__QL50.jpg",https://www.imdb.com/name/nm0004570/bio,June 6,1930,"Jhelum, Punjab, British India","Actor, social activist and politician. Sunil Dutt wore many hats and excelled in a plethora of roles that came his way - both on and off screen. Born on June 6th, 1929, Sunil Dutt grew up as Balraj Dutt in a family that had survived the Partition of India. A student of Mumbai's Jai Hind college, he first started off as radio show host and celebrity ... Read more from IMDB Bio Link","5' 10"" (1.78 m)","Mr. Sunil Dutt,Dutt Sahab",,,Gemini
